Run order;SampleID;SampleGroup;Batch;Vol;Side;OldBatch;ExclPOS;ExclNEG;H;Animal;Filename POS;Filename NEG;Anesthetic
45;28V;C;2;=;V;1;N;N;N;28;KP_170329_BK5326_063;;Ketalar
94;28H;C;3;=;H;1;Y;N;N;28;KP_170329_BK5326_112;;Ketalar
83;29H;C;3;<;H;4;Y;N;N;29;KP_170329_BK5326_101;;Ketalar
115;29V;C;4;=;V;1;N;N;N;29;KP_170329_BK5326_133;;Ketalar
106;33V;C;4;<;V;4;N;Y;N;33;KP_170329_BK5326_124;;Ketalar
108;33H;C;4;=;H;3;Y;N;N;33;KP_170329_BK5326_126;;Ketalar
40;34V;C;1;<;V;4;N;N;N;34;KP_170329_BK5326_058;;Ketalar
75;34H;C;3;=;H;2;Y;Y;N;34;KP_170329_BK5326_093;;Ketalar
26;35V;C;1;=;V;3;N;N;N;35;KP_170329_BK5326_044;;Ketalar
64;35H;C;2;=;H;2;N;N;N;35;KP_170329_BK5326_082;;Ketalar
59;36V;N;2;=;V;3;N;N;N;36;KP_170329_BK5326_077;;Ketalar
93;36H;N;3;=;H;1;Y;N;N;36;KP_170329_BK5326_111;;Ketalar
56;37V;N;2;<;V;4;N;N;N;37;KP_170329_BK5326_074;;Ketalar
112;37H;N;4;=;H;2;Y;N;N;37;KP_170329_BK5326_130;;Ketalar
46;38H;N;2;=;H;2;N;N;N;38;KP_170329_BK5326_064;;Ketalar
82;38V;N;3;=;V;2;Y;N;N;38;KP_170329_BK5326_100;;Ketalar
76;39V;N;3;=;V;1;Y;Y;N;39;KP_170329_BK5326_094;;Ketalar
88;39H;N;3;<;H;4;N;Y;N;39;KP_170329_BK5326_106;;Ketalar
72;40H;N;2;=;H;2;Y;N;N;40;KP_170329_BK5326_090;;Ketalar
126;40V;N;4;=;V;2;Y;N;N;40;KP_170329_BK5326_144;;Ketalar
42;41H;N;1;=;H;3;N;N;N;41;KP_170329_BK5326_060;;Ketalar
124;41V;N;4;=;V;1;N;N;N;41;KP_170329_BK5326_142;;Ketalar
28;42H;N;1;=;H;3;N;N;N;42;KP_170329_BK5326_046;;Ketalar
32;42V;N;1;<<;V;4;N;N;N;42;KP_170329_BK5326_050;;Ketalar
48;43V;N;2;=;V;1;N;N;N;43;KP_170329_BK5326_066;;Ketalar
113;43H;N;4;<;H;4;N;N;N;43;KP_170329_BK5326_131;;Ketalar
21;44H;N;1;=;H;1;N;N;N;44;KP_170329_BK5326_039;;Ketalar
117;44V;N;4;=;V;3;N;N;N;44;KP_170329_BK5326_135;;Ketalar
16;45V;N;1;<<;V;4;N;N;N;45;KP_170329_BK5326_034;;Ketalar
97;45H;N;3;<<;H;4;Y;N;N;45;KP_170329_BK5326_115;;Ketalar
24;46V;N;1;=;V;3;N;N;N;46;KP_170329_BK5326_042;;Ketalar
51;46H;N;2;=;H;2;N;N;N;46;KP_170329_BK5326_069;;Ketalar
65;48V;C;2;=;V;1;N;Y;N;48;KP_170329_BK5326_083;;Ketaminol
67;48H;C;2;=;H;2;N;N;N;48;KP_170329_BK5326_085;;Ketaminol
25;63H;NH;1;=;H;2;N;N;Y;63;KP_170329_BK5326_043;;Ketalar
60;63V;NH;2;<;V;3;N;N;Y;63;KP_170329_BK5326_078;;Ketalar
80;66H;NH;3;=;H;1;Y;Y;Y;66;KP_170329_BK5326_098;;Ketalar
104;66V;NH;4;=;V;1;N;N;Y;66;KP_170329_BK5326_122;;Ketalar
34;67H;NH;1;=;H;2;N;N;Y;67;KP_170329_BK5326_052;;Ketalar
86;67V;NH;3;<<;V;4;Y;Y;Y;67;KP_170329_BK5326_104;;Ketalar
81;69V;NH;3;=;V;3;N;N;Y;69;KP_170329_BK5326_099;;Ketalar
114;69H;NH;4;=;H;2;N;N;Y;69;KP_170329_BK5326_132;;Ketalar
