"name";"mz";"mzmin";"mzmax";"rt";"rtmin";"rtmax";"npeaks";"C";"CH";"Control";"H";"N";"NH";"QC";"28V";"29V";"33V";"34V";"35H";"35V";"48H";"48V";"95V";"96H";"96V";"97H";"97V";"98H";"98V";"81H";"81V";"82V";"83H";"84H";"86H";"86V";"87H";"87V";"89H-1";"89V-3";"89V-4";"90H";"90V";"91H";"92H";"93V";"94H";"94V";"100V";"99H";"99V";"101H";"101V";"74H";"75H";"75V";"76H";"76V";"36V";"37V";"38H";"39H";"41H";"41V";"42H";"42V";"43H";"43V";"44H";"44V";"45V";"46H";"46V";"63H";"63V";"66V";"67H";"69H";"69V";"71V";"72H";"72V";"77H";"77V";"78H";"78V";"79H";"79V";"80H";"80V";"QC1-1_1";"QC1-1_2";"QC1-3_1";"QC1-3_2";"QC1";"QC10";"QC11";"QC12";"QC13";"QC14";"QC15";"QC2";"QC3";"QC4";"QC5";"QC6";"QC7";"QC8";"QC9";"isotopes";"adduct";"pcgroup";"rsdqc"
"1";"M55T34";55.0547844835722;55.0537868113272;55.0557565813745;34.2699997806549;3.03999992966652;64.880001335144;90;12;18;3;7;13;16;19;11824.0707630626;11549.6825940451;10745.7846313678;7206.58244039114;12667.5751325275;7566.88385484922;9136.83467708337;11666.0182377611;11452.0581035867;10908.0639223256;8291.86471679642;10067.0909710813;7897.65290772692;9310.91143244995;6481.68411815108;6124.84669293434;12135.9822837837;391.182695674749;9918.6468166733;7048.66162914326;9791.18136886935;12799.7126906659;8664.9163849701;11068.0926417269;2532.16312778929;8549.32575936066;7218.08183267059;8629.34002676376;6988.11987331122;7392.52516669914;6299.12121422929;11503.3086326243;10835.6710884558;9193.69645258535;11144.6980917512;7188.79192011081;11198.3733405369;7878.33604870907;4406.05017383891;9247.45686671041;12574.962371367;4928.02003514419;13343.0051313455;10366.9373489286;9393.30374017989;8019.20756933096;8977.36423098858;9509.17374383784;6966.88781380061;9671.3458718319;8983.79348112261;7771.37387493287;8679.98232813559;9099.35629268946;7508.93080212758;10708.8555242342;13932.7133454942;8003.07120242084;4422.02186552112;5814.40235610871;8392.10358847839;6989.79148595548;9220.27327025832;10281.0970300328;18273.1165456212;10936.4933344838;7524.61901804581;6751.85875003244;6976.28928159617;10463.102654248;8029.18531471665;14770.0056594123;8465.42558761587;7710.8482668347;11474.0895959493;9817.18695384011;18404.390599938;21237.1287691052;14722.2552492887;14452.6265014586;10924.2321134828;11671.9815461489;9917.06869471132;11192.4952204302;9831.82387298312;11209.2236635881;12141.2324249726;11084.3000543314;9875.40856613775;10569.9156822915;10162.7086294575;10606.9620808071;10035.9705251871;12724.2834978503;9842.95420251987;"";"";"2";0.0830902163276182
"2";"M57T34";57.0701460509322;57.0697597449573;57.0705345639141;33.9589997196198;30.391001701355;36.5290006256104;90;15;18;2;7;15;16;17;59356.007761777;20371.9132477234;17282.2571065265;14198.320151762;19230.1246833787;17214.9832111421;23630.4710867199;18200.2728471562;23689.7737103999;17437.9207624597;20634.2077001864;19300.8414142595;22548.7220843034;26384.6061990761;12813.8051188541;15723.4984924432;19751.4583205529;18534.1967095361;19654.2316822768;14223.1297637263;14323.1113089438;19045.6328467871;13118.0251015916;15751.6635916666;16390.6682488739;19434.4221184173;13948.2321723991;19614.9294421378;23037.0394541634;27719.6191850935;13494.2199888539;19475.0909606033;15958.2855257635;14128.9417558805;25414.2184047219;20534.5551728715;26913.0912554867;19047.5682198378;20598.9630252789;18566.8017539341;19687.9616981408;18990.1701513733;23100.7544750439;18004.7666246674;19923.6493723594;18733.9596213428;17806.1882683988;17260.701277092;16935.2353799805;20629.3352441719;18510.3006572429;22589.9882451342;17298.347269907;21822.5161769824;15665.0411086619;20439.1691955221;29719.097839204;16614.3114192316;16334.3942568914;17901.154767713;17097.329209242;15849.2068731772;22754.8681660378;18587.6305960755;34729.4472296979;19879.4646595665;15582.3048160074;46412.8108208067;14836.7568097346;19373.0631157952;10132.2518019077;27878.1535549924;20144.7912411492;16636.9236995987;21088.3262466694;21867.3404914407;12667.1971735838;12721.2882859154;17131.3230977155;13347.4933962951;16495.3098985855;15794.273671847;15141.7041107545;15763.4850870408;16002.1429631463;16550.4717004491;15698.0218911284;16697.5824890403;14503.7001864395;16476.5446313788;15507.3793471407;18589.1729555799;16317.9230413794;15971.6360128839;17094.9235713782;"";"";"2";0.0577701264719707
"3";"M58T516";58.0653099250779;58.0641991032669;58.0655212623805;516.478980102539;504.090987701416;517.672004699707;93;13;18;3;7;15;17;19;39012.5519924652;38097.0793476335;88062.5001031623;54512.0565322948;36780.7420151908;38981.8563655043;36084.6650165135;64615.6634266782;38902.6806293394;85767.4233306261;75416.7164012299;29136.0054921885;24080.534936528;97830.2887132547;108103.48972309;54636.4704342012;70893.0687531601;57069.4433065308;30314.5442075123;73354.3146992067;48892.4992119342;39257.0490447524;72134.2903756086;77988.0521994589;40131.5836240368;79300.4037526201;49584.5740524828;32207.3929039851;36687.2260220093;30638.885942474;26818.6848921156;44440.6963786146;49682.1537527663;43804.6207729301;73663.8737775169;81834.9233486812;84237.9941298935;80376.9469044299;65448.1285833997;69961.8309992898;95400.4781391124;71957.3685181046;75936.1700605523;89396.8308707674;68780.1847635697;68367.3423668557;72421.6896599075;61653.3160677108;98284.6229030239;80102.8651870993;61763.1152020586;67715.4282718031;59399.303847469;43756.9886769832;79942.4635210761;67933.9056940806;36006.0092181799;66897.6892177901;77982.2583487351;95638.8060576944;99352.6072722585;100722.675978421;44383.9208787862;61384.5896259453;33022.0451882988;92112.2233756932;76968.7264026495;73986.9181736635;72634.3241083868;105460.283405121;78410.0437154188;77547.0985553238;61144.8216824418;78936.8558616193;86699.794261208;104721.095370782;73630.1257375187;59419.6163500392;50689.3975957648;41775.5539844688;63534.2504124485;68772.9335974224;61762.4220989966;63730.720474592;61502.0082925841;63704.7451117041;64537.7720793137;62654.2684496742;63444.6780433184;62436.0562678583;64357.1104474673;62301.9518609718;66753.5964771067;64236.6079259226;64416.3927882213;"";"";"107";0.0295418067564834
"4";"M59T37";59.0497429227848;59.0467331693659;59.0606082785842;37.4819988441467;5.86400001764297;70.9699967765808;87;14;13;3;6;14;16;19;13307.1459739207;8522.05541196681;2503.23580325034;19208.6822453386;11342.0670379004;25597.4667744008;12978.0738058811;40203.5792177859;32231.2446745776;7284.38168010451;19540.5673648065;5387.17247700617;4364.41070057449;9141.11597405952;41121.0233662067;13565.0412135637;3906.14861027308;3651.15344893554;20724.9760327724;6826.57484917069;3971.44820126741;8710.797197739;5419.05078108738;5086.86869446606;17270.9818611341;9462.23724172712;13956.2817810378;15226.2089965775;13224.9410001966;24357.6660652072;25283.8474806911;14711.4990259123;5515.84704962872;18801.0876199713;6289.06681596317;23782.8721238153;12415.1673989488;6373.55745708093;23027.4231738355;15787.6432745754;3786.42384785773;26344.8609175616;45834.1174424574;13202.9039374837;6764.6474260234;15689.4250505277;3542.81072902594;12546.1453453642;21578.4416266617;36470.0187551386;7009.54488914243;75500.1123380348;23932.9273096572;10465.7911618788;5281.509871078;8201.23760045891;30778.8520385137;25196.630362899;4867.10786097124;30967.0184570757;11284.9917594668;7065.50300275364;11106.6151783886;8458.71432267726;57310.2017479509;5912.24043644458;6371.54282644525;7468.48452444988;40763.4895972885;26875.3032417849;35630.9490693172;27271.0308667638;40405.5522297045;8308.70901311357;3110.78637148955;31003.5498543103;65400.7653782299;66929.3236143585;68916.5715358211;55936.4591259418;16616.5362260724;13337.7958946404;15491.379860623;14123.2764372502;18227.8205389532;31002.745522424;15476.6968737187;16751.3320901943;14853.8762347224;16634.2175296333;16076.7817226461;25150.3760029462;21615.1009195246;25987.4025104672;23415.8592470752;"";"";"18";0.274537016710829
"5";"M59T517";59.0730284491314;59.0727042688735;59.0740081890058;517.028988113403;515.231991119385;529.856005096436;96;15;19;3;7;15;17;19;41323.9993216476;37756.8099396545;96491.7177590407;56282.7230425711;40151.3392398731;37053.4603190117;37384.3754166963;66780.9851689071;37965.4430137266;85711.1199728602;79401.5048660484;21446.0922001607;20917.8169626229;95675.2678496661;94107.3536707693;53312.2723484295;69242.8649201906;55178.8809070336;27284.2007991827;62974.0284306412;38548.1908261064;34592.9898618627;63315.9225310998;65591.4915406023;35450.124137053;81053.151878961;46762.7890288856;28328.7217485983;29817.7790232527;37613.6242471266;27113.0725845349;50103.1507634924;54704.7518841961;48206.9832042202;69333.1727529626;77195.7040287174;76771.9399708349;74626.5832440776;72431.0749756159;70792.7918439692;86685.3511514479;67799.7401021995;77371.1226692249;90514.9191548361;74845.2262185476;72612.3551083617;79411.2303622272;67787.7948147872;94296.5132102995;86175.3122106794;65057.4226101038;63995.0794690665;62747.2509805227;50214.4562305198;74435.9457581869;72514.7181585708;36853.8177972312;72249.4850623636;83076.6058144217;92260.880270611;83520.795501764;98765.183263408;41131.0353333262;59792.6101702248;40910.8982857036;88928.0037604788;69405.5548299199;67753.4252809632;77459.9286213803;101946.374395901;79961.0643581546;67767.3522336968;59770.2137484019;67684.7272698343;87634.4879799915;101245.588193049;77625.6748892496;64314.1126405028;55192.1727139654;46588.5045956578;67880.9231928129;68898.644130278;68522.6123357782;68785.0210789361;72013.0285845794;67253.7532053602;65963.1924754608;65478.597333265;68068.4552321459;69011.2787626742;69075.7186588709;67891.5326332941;67872.0044234814;69995.0229153169;69852.6791618768;"";"[M+H-NH3-COCH2]+ 117.111";"13";0.0233112611328802
"6";"M60T554";60.0809301345951;60.0792904159694;60.0811481183912;554.015990600586;538.960976104736;556.165995483398;99;15;19;3;7;15;17;19;117335.305552651;121095.765010177;68034.9781391755;76688.1102413609;89318.4231824746;44203.9875033067;59612.9745491286;62449.4528086337;36210.9378493757;78154.2896677981;51587.3296614644;65549.7088229841;36299.5916299901;156880.630232717;284100.981798218;60857.8107817026;144162.904637332;39217.9406929277;15563.2361419941;223675.310874927;107778.189612719;71078.9213170177;113171.346557436;89666.0918950228;90779.3042756433;34707.5961617211;132860.241093242;260670.504029657;257816.407707513;38938.8241673356;92374.3329707177;92002.7663346465;44776.0218648392;84068.5364296576;55114.064934185;53943.6603100196;18186.7906286943;28915.0050305081;59078.3189749384;46208.2544148203;174188.748930128;35251.9171753536;50638.7691207324;82379.2320016797;36919.9456283235;103955.642383127;101230.925591533;94315.4525145571;115535.121653177;67462.6308647068;135991.284905315;62756.6040672535;134755.779345888;39657.9764919626;37136.4575861046;119225.923156254;12100.1848955875;101688.694667748;131483.853372953;36303.5888489457;35314.4560924809;34346.7374276017;10837.9147125055;47589.3430947948;9861.4333734507;189875.161758018;78677.2851269958;79808.4081827582;71664.0186730289;120493.147772385;123732.604244256;27391.9024767206;69932.0270741724;73334.7246365989;74222.2547012373;57753.5518353551;48375.7415708604;59287.3759575923;29180.7155560087;27399.6593178525;66941.4984261831;75362.1052818932;82112.4066999706;74697.7634863645;75131.6143074124;71338.0973941546;74637.5786336587;67486.7010490689;68509.2826871858;74718.5856102045;70979.366608762;77324.3132351162;71199.1860813121;71232.5349438951;72457.3237469826;"";"[M+H-C3H4O-C4H8O2]+ 203.16";"8";0.0544821112589229
"7";"M60T604";60.0809378042392;60.0807234632066;60.082416714863;603.582024993897;584.056018676758;604.846992492676;97;15;19;3;7;15;17;19;95574.4284611182;111577.555163388;140292.150736959;121978.30692045;82427.4399319459;79162.5301475602;57945.7755338701;81470.3825811571;74687.4963996792;120800.031751403;93380.2052639013;79541.0444515049;57925.7797959215;146940.642127316;291238.997476433;65638.2749767258;106958.205135263;84973.1378750256;16377.5305695983;181464.499170408;158813.7329677;96112.9281845577;125870.210511355;120365.568996684;125346.694682365;67037.7840443858;159668.585281048;209651.749419458;206247.216400414;62325.2784974084;113708.837563618;137191.696157718;77800.3875751922;104439.178378207;69979.7079332366;71827.2667715829;48102.0391187548;66503.8129839047;83777.9634708827;67548.0482836421;142831.028199284;64760.924995703;64322.8053289794;122968.847034006;88962.4108279606;142164.170080295;104094.566367712;83550.0445482947;127208.201922957;96855.0811462344;98715.2401552659;103776.007406856;93313.743351295;73176.4908171024;102303.071471369;105886.341556476;16008.8309495694;100378.518208759;131509.507881972;112828.809343515;81436.7471171325;144774.172857278;30378.9657712502;62470.0320900055;27316.251735113;140302.869583798;108882.02130305;89750.8449005853;74117.0194604738;119613.907230277;110448.472649918;42682.41858043;92888.3938550417;126251.905063771;88204.7838833802;73850.9961977659;84394.3113865949;67254.4531147947;50808.0742585894;40600.9177629844;85526.122869222;83761.1899610322;86581.7338099186;88817.9527336171;85806.8046464787;87941.3161807919;87582.6842457121;87250.3414699323;86300.509846509;93009.1710330684;88330.033656283;92568.5418222423;86195.1597255353;84173.3651421729;82087.7074450509;"";"[M+H-COCH2]+ 101.084 [M+H-H2O-H2O-C2H4O (McLafferty)]+ 139.123";"6";0.0337593439500047
"8";"M60T235";60.0808964823187;60.0803601190821;60.0814271110212;235.049001522064;233.618001022339;238.036995048523;94;15;19;3;7;15;16;19;22721.8299462462;25967.4940176156;29554.9497835781;40321.4573954915;11356.2031256504;28140.7269357356;4758.90710390872;49448.1552031953;2570.37372974681;28049.4554798763;37496.1774406995;30382.4390988433;19318.9871906208;21887.1706114836;42912.3794364269;36518.149153485;34619.5159453967;20470.1045204078;27326.0927633285;35991.3185752754;64173.4218774482;28500.5006537381;34764.9085363349;30299.7683164716;37270.1790268373;11771.6620586243;27269.6937041013;6502.10184996203;36422.9917677162;14283.380998892;13399.7305458285;20480.2633265258;32157.3256705066;34656.8806140044;20145.3097881213;30175.3704674426;13494.6572357212;54550.5174303307;28919.2688149948;19498.6147438469;45853.7602849548;21246.0946066609;10562.6444472114;39193.9208105046;24935.9892532256;31979.9623771066;21705.8640210635;23704.7348277578;17157.1598445227;28395.9199149693;9207.22426542434;39822.7446182004;18421.5849389341;10489.5843115802;38482.1605510289;23505.4873475086;8900.04421435102;10634.3412740175;39317.8107828884;29790.8714884171;16301.2405710878;39058.373737589;13131.3875123523;14410.2019240175;4413.92698152116;55398.0514920613;47993.448788323;28155.3240946149;32132.6493027081;42653.940576346;39160.8200553729;6341.97002191513;19666.2121066107;29199.8905733169;26233.4060381306;18872.7961257492;25913.0742538132;23190.5634770399;15626.2452140422;11884.1442094035;30678.8113539303;34962.4438327282;29373.6564373648;32139.6871180808;30538.9786205192;30157.3624105222;29500.4894883245;28242.2562104135;33115.1634279172;31755.9672274373;30676.2444077709;30707.938589754;30372.0588424266;33225.0886063424;32066.0294451322;"";"[M+H-C2H4O]+ (McLafferty) 103.1";"35";0.0554536929154057
"9";"M66T65";66.0340972636634;66.0331819769442;66.0348799775793;64.8699980449676;60.4730033874512;67.6630019378662;50;7;7;1;3;9;4;19;893.879012928117;1700.82835821487;437.688056657517;5780.21728245028;2245.69796784127;2027.55567431103;2038.77989835258;1233.86953224854;1011.00223208493;753.127324355849;1730.30929145931;577.225747888579;2104.9482854921;1450.80965464498;1212.10054046307;1425.94214718655;1280.86736512017;1197.78935596577;1973.51514780192;1433.39772403457;973.186829283901;1059.66109503261;963.599225980316;1073.00807364782;1850.4657527414;1098.09741472471;1545.11872212951;1351.42900993006;1149.68837941389;1572.85727353553;1078.3440219504;1937.51425654626;2674.78881302628;824.539897865928;4103.60335056602;1950.39653365644;1752.39607152323;2485.4850744958;5147.19266434805;1513.3876435459;1232.34749591023;1301.56227016782;1565.6303788374;1301.77410088213;2787.87386102276;797.755318608201;3458.46199228155;3945.20591262285;1130.06731945633;2523.55579985838;104852.115336584;2025.32843725165;3033.6496675692;2788.08907929638;1026.7156726632;1281.58019804022;1791.6675806541;1140.83701105832;1141.2833933956;1411.47989845477;1054.53930895438;1041.69928258813;1445.1689769084;1673.5984531928;1943.18555241949;949.537378078559;3594.08759294848;1337.46762078657;935.553865325295;1155.30300964512;1318.20839081065;1454.61816722912;2185.61336819709;1153.72475070876;996.788169717653;1812.40147449103;3957.53815676112;2549.56796555465;3721.29556185161;2453.90136504406;4497.66060465842;3841.72777250289;3972.89568878458;4368.33831420894;3840.86483543678;3606.82426072157;3857.02691298578;4360.89828774889;4963.30880630966;4662.61074940369;4496.21844581658;4512.81641591157;5358.20963513101;2997.74084153442;4254.71758171382;"";"";"10";0.13623350871021
"10";"M67T47";67.0544268425782;67.0532229523082;67.0548906823311;46.9304989528656;20.951999168396;69.8639978027344;216;15;19;3;7;15;17;19;29325.1731969407;52006.5422389594;105805.664479179;61738.7898760265;27284.983590194;99937.014698376;11722.2492971576;40302.2184264085;20194.0822236908;56928.7528495398;33719.6185958648;38462.3978542243;33743.7253230369;32642.7596538755;69637.8418914266;30208.9679333714;86692.7149241491;27329.047147172;48197.5854738913;45425.3872315317;65451.4817948137;58475.9147360552;64015.7557934679;45640.4170923566;60094.4457585651;15980.4705037439;31889.6991452986;26241.9815808223;76072.7013099407;18525.3215587176;26146.5743620734;27750.7772708668;34706.3907216037;35741.1877575741;21226.487772929;36915.84594857;23680.6607867339;35125.1967600886;29316.5476234504;33231.5719302464;31410.1562724113;88916.0054209217;18706.6556935771;32113.1948086234;41174.7041914078;103747.880037281;21739.1324150005;31680.5336720324;37990.8863005202;17574.6646162656;20430.0071531991;53005.6055040549;47771.6052422791;24880.8693419913;49284.0167084278;80955.7198782066;65325.033380384;33991.1280075436;23637.1784474762;32531.0242973623;90485.9664943325;26125.4229058072;59591.5638646116;32806.9310454621;50903.4531055247;106929.81325839;38664.5571639193;58850.7904751076;45844.4633948019;50380.6244264592;62418.8174405256;20335.076662221;20017.4759272452;21256.7401536506;17373.6909962111;32259.142734649;42844.4921769119;28323.788599244;34353.182155882;34869.3770020694;31640.0389997578;34611.3296561119;33190.1565957972;25861.2948546125;27065.3165239157;35572.474306737;26552.0664519333;32064.5220812415;33818.1856359842;26379.0268474175;32819.014209597;23790.256582484;31213.2587132098;61833.3810772695;51869.1006859708;"";"[M+H-C8H6O-H2O]+ 202.099";"20";0.300122885183071
