"name";"mz";"mzmin";"mzmax";"rt";"rtmin";"rtmax";"npeaks";"C";"CH";"Control";"H";"N";"NH";"QC";"28V";"29V";"33V";"34V";"35H";"35V";"48H";"48V";"95V";"96H";"96V";"97H";"97V";"98H";"98V";"81H";"81V";"82V";"83H";"84H";"86H";"86V";"87H";"87V";"89H-1";"89V-3";"89V-4";"90H";"90V";"91H";"92H";"93V";"94H";"94V";"100V";"99H";"99V";"101H";"101V";"74H";"75H";"75V";"76H";"76V";"36V";"37V";"38H";"39H";"41H";"41V";"42H";"42V";"43H";"43V";"44H";"44V";"45V";"46H";"46V";"63H";"63V";"66V";"67H";"69H";"69V";"71V";"72H";"72V";"77H";"77V";"78H";"78V";"79H";"79V";"80H";"80V";"QC1-1_1";"QC1-1_2";"QC1-3_1";"QC1-3_2";"QC1";"QC10";"QC11";"QC12";"QC13";"QC14";"QC15";"QC2";"QC3";"QC4";"QC5";"QC6";"QC7";"QC8";"QC9";"isotopes";"adduct";"pcgroup";"rsdqc"
"3";"M58T516";58.0653099250779;58.0641991032669;58.0655212623805;516.478980102539;504.090987701416;517.672004699707;93;13;18;3;7;15;17;19;39012.5519924652;38097.0793476335;88062.5001031623;54512.0565322948;36780.7420151908;38981.8563655043;36084.6650165135;64615.6634266782;38902.6806293394;85767.4233306261;75416.7164012299;29136.0054921885;24080.534936528;97830.2887132547;108103.48972309;54636.4704342012;70893.0687531601;57069.4433065308;30314.5442075123;73354.3146992067;48892.4992119342;39257.0490447524;72134.2903756086;77988.0521994589;40131.5836240368;79300.4037526201;49584.5740524828;32207.3929039851;36687.2260220093;30638.885942474;26818.6848921156;44440.6963786146;49682.1537527663;43804.6207729301;73663.8737775169;81834.9233486812;84237.9941298935;80376.9469044299;65448.1285833997;69961.8309992898;95400.4781391124;71957.3685181046;75936.1700605523;89396.8308707674;68780.1847635697;68367.3423668557;72421.6896599075;61653.3160677108;98284.6229030239;80102.8651870993;61763.1152020586;67715.4282718031;59399.303847469;43756.9886769832;79942.4635210761;67933.9056940806;36006.0092181799;66897.6892177901;77982.2583487351;95638.8060576944;99352.6072722585;100722.675978421;44383.9208787862;61384.5896259453;33022.0451882988;92112.2233756932;76968.7264026495;73986.9181736635;72634.3241083868;105460.283405121;78410.0437154188;77547.0985553238;61144.8216824418;78936.8558616193;86699.794261208;104721.095370782;73630.1257375187;59419.6163500392;50689.3975957648;41775.5539844688;63534.2504124485;68772.9335974224;61762.4220989966;63730.720474592;61502.0082925841;63704.7451117041;64537.7720793137;62654.2684496742;63444.6780433184;62436.0562678583;64357.1104474673;62301.9518609718;66753.5964771067;64236.6079259226;64416.3927882213;"";"";"107";0.0295418067564834
"5";"M59T517";59.0730284491314;59.0727042688735;59.0740081890058;517.028988113403;515.231991119385;529.856005096436;96;15;19;3;7;15;17;19;41323.9993216476;37756.8099396545;96491.7177590407;56282.7230425711;40151.3392398731;37053.4603190117;37384.3754166963;66780.9851689071;37965.4430137266;85711.1199728602;79401.5048660484;21446.0922001607;20917.8169626229;95675.2678496661;94107.3536707693;53312.2723484295;69242.8649201906;55178.8809070336;27284.2007991827;62974.0284306412;38548.1908261064;34592.9898618627;63315.9225310998;65591.4915406023;35450.124137053;81053.151878961;46762.7890288856;28328.7217485983;29817.7790232527;37613.6242471266;27113.0725845349;50103.1507634924;54704.7518841961;48206.9832042202;69333.1727529626;77195.7040287174;76771.9399708349;74626.5832440776;72431.0749756159;70792.7918439692;86685.3511514479;67799.7401021995;77371.1226692249;90514.9191548361;74845.2262185476;72612.3551083617;79411.2303622272;67787.7948147872;94296.5132102995;86175.3122106794;65057.4226101038;63995.0794690665;62747.2509805227;50214.4562305198;74435.9457581869;72514.7181585708;36853.8177972312;72249.4850623636;83076.6058144217;92260.880270611;83520.795501764;98765.183263408;41131.0353333262;59792.6101702248;40910.8982857036;88928.0037604788;69405.5548299199;67753.4252809632;77459.9286213803;101946.374395901;79961.0643581546;67767.3522336968;59770.2137484019;67684.7272698343;87634.4879799915;101245.588193049;77625.6748892496;64314.1126405028;55192.1727139654;46588.5045956578;67880.9231928129;68898.644130278;68522.6123357782;68785.0210789361;72013.0285845794;67253.7532053602;65963.1924754608;65478.597333265;68068.4552321459;69011.2787626742;69075.7186588709;67891.5326332941;67872.0044234814;69995.0229153169;69852.6791618768;"";"[M+H-NH3-COCH2]+ 117.111";"13";0.0233112611328802
"6";"M60T554";60.0809301345951;60.0792904159694;60.0811481183912;554.015990600586;538.960976104736;556.165995483398;99;15;19;3;7;15;17;19;117335.305552651;121095.765010177;68034.9781391755;76688.1102413609;89318.4231824746;44203.9875033067;59612.9745491286;62449.4528086337;36210.9378493757;78154.2896677981;51587.3296614644;65549.7088229841;36299.5916299901;156880.630232717;284100.981798218;60857.8107817026;144162.904637332;39217.9406929277;15563.2361419941;223675.310874927;107778.189612719;71078.9213170177;113171.346557436;89666.0918950228;90779.3042756433;34707.5961617211;132860.241093242;260670.504029657;257816.407707513;38938.8241673356;92374.3329707177;92002.7663346465;44776.0218648392;84068.5364296576;55114.064934185;53943.6603100196;18186.7906286943;28915.0050305081;59078.3189749384;46208.2544148203;174188.748930128;35251.9171753536;50638.7691207324;82379.2320016797;36919.9456283235;103955.642383127;101230.925591533;94315.4525145571;115535.121653177;67462.6308647068;135991.284905315;62756.6040672535;134755.779345888;39657.9764919626;37136.4575861046;119225.923156254;12100.1848955875;101688.694667748;131483.853372953;36303.5888489457;35314.4560924809;34346.7374276017;10837.9147125055;47589.3430947948;9861.4333734507;189875.161758018;78677.2851269958;79808.4081827582;71664.0186730289;120493.147772385;123732.604244256;27391.9024767206;69932.0270741724;73334.7246365989;74222.2547012373;57753.5518353551;48375.7415708604;59287.3759575923;29180.7155560087;27399.6593178525;66941.4984261831;75362.1052818932;82112.4066999706;74697.7634863645;75131.6143074124;71338.0973941546;74637.5786336587;67486.7010490689;68509.2826871858;74718.5856102045;70979.366608762;77324.3132351162;71199.1860813121;71232.5349438951;72457.3237469826;"";"[M+H-C3H4O-C4H8O2]+ 203.16";"8";0.0544821112589229
"7";"M60T604";60.0809378042392;60.0807234632066;60.082416714863;603.582024993897;584.056018676758;604.846992492676;97;15;19;3;7;15;17;19;95574.4284611182;111577.555163388;140292.150736959;121978.30692045;82427.4399319459;79162.5301475602;57945.7755338701;81470.3825811571;74687.4963996792;120800.031751403;93380.2052639013;79541.0444515049;57925.7797959215;146940.642127316;291238.997476433;65638.2749767258;106958.205135263;84973.1378750256;16377.5305695983;181464.499170408;158813.7329677;96112.9281845577;125870.210511355;120365.568996684;125346.694682365;67037.7840443858;159668.585281048;209651.749419458;206247.216400414;62325.2784974084;113708.837563618;137191.696157718;77800.3875751922;104439.178378207;69979.7079332366;71827.2667715829;48102.0391187548;66503.8129839047;83777.9634708827;67548.0482836421;142831.028199284;64760.924995703;64322.8053289794;122968.847034006;88962.4108279606;142164.170080295;104094.566367712;83550.0445482947;127208.201922957;96855.0811462344;98715.2401552659;103776.007406856;93313.743351295;73176.4908171024;102303.071471369;105886.341556476;16008.8309495694;100378.518208759;131509.507881972;112828.809343515;81436.7471171325;144774.172857278;30378.9657712502;62470.0320900055;27316.251735113;140302.869583798;108882.02130305;89750.8449005853;74117.0194604738;119613.907230277;110448.472649918;42682.41858043;92888.3938550417;126251.905063771;88204.7838833802;73850.9961977659;84394.3113865949;67254.4531147947;50808.0742585894;40600.9177629844;85526.122869222;83761.1899610322;86581.7338099186;88817.9527336171;85806.8046464787;87941.3161807919;87582.6842457121;87250.3414699323;86300.509846509;93009.1710330684;88330.033656283;92568.5418222423;86195.1597255353;84173.3651421729;82087.7074450509;"";"[M+H-COCH2]+ 101.084 [M+H-H2O-H2O-C2H4O (McLafferty)]+ 139.123";"6";0.0337593439500047
"8";"M60T235";60.0808964823187;60.0803601190821;60.0814271110212;235.049001522064;233.618001022339;238.036995048523;94;15;19;3;7;15;16;19;22721.8299462462;25967.4940176156;29554.9497835781;40321.4573954915;11356.2031256504;28140.7269357356;4758.90710390872;49448.1552031953;2570.37372974681;28049.4554798763;37496.1774406995;30382.4390988433;19318.9871906208;21887.1706114836;42912.3794364269;36518.149153485;34619.5159453967;20470.1045204078;27326.0927633285;35991.3185752754;64173.4218774482;28500.5006537381;34764.9085363349;30299.7683164716;37270.1790268373;11771.6620586243;27269.6937041013;6502.10184996203;36422.9917677162;14283.380998892;13399.7305458285;20480.2633265258;32157.3256705066;34656.8806140044;20145.3097881213;30175.3704674426;13494.6572357212;54550.5174303307;28919.2688149948;19498.6147438469;45853.7602849548;21246.0946066609;10562.6444472114;39193.9208105046;24935.9892532256;31979.9623771066;21705.8640210635;23704.7348277578;17157.1598445227;28395.9199149693;9207.22426542434;39822.7446182004;18421.5849389341;10489.5843115802;38482.1605510289;23505.4873475086;8900.04421435102;10634.3412740175;39317.8107828884;29790.8714884171;16301.2405710878;39058.373737589;13131.3875123523;14410.2019240175;4413.92698152116;55398.0514920613;47993.448788323;28155.3240946149;32132.6493027081;42653.940576346;39160.8200553729;6341.97002191513;19666.2121066107;29199.8905733169;26233.4060381306;18872.7961257492;25913.0742538132;23190.5634770399;15626.2452140422;11884.1442094035;30678.8113539303;34962.4438327282;29373.6564373648;32139.6871180808;30538.9786205192;30157.3624105222;29500.4894883245;28242.2562104135;33115.1634279172;31755.9672274373;30676.2444077709;30707.938589754;30372.0588424266;33225.0886063424;32066.0294451322;"";"[M+H-C2H4O]+ (McLafferty) 103.1";"35";0.0554536929154057
"9";"M66T65";66.0340972636634;66.0331819769442;66.0348799775793;64.8699980449676;60.4730033874512;67.6630019378662;50;7;7;1;3;9;4;19;893.879012928117;1700.82835821487;437.688056657517;5780.21728245028;2245.69796784127;2027.55567431103;2038.77989835258;1233.86953224854;1011.00223208493;753.127324355849;1730.30929145931;577.225747888579;2104.9482854921;1450.80965464498;1212.10054046307;1425.94214718655;1280.86736512017;1197.78935596577;1973.51514780192;1433.39772403457;973.186829283901;1059.66109503261;963.599225980316;1073.00807364782;1850.4657527414;1098.09741472471;1545.11872212951;1351.42900993006;1149.68837941389;1572.85727353553;1078.3440219504;1937.51425654626;2674.78881302628;824.539897865928;4103.60335056602;1950.39653365644;1752.39607152323;2485.4850744958;5147.19266434805;1513.3876435459;1232.34749591023;1301.56227016782;1565.6303788374;1301.77410088213;2787.87386102276;797.755318608201;3458.46199228155;3945.20591262285;1130.06731945633;2523.55579985838;104852.115336584;2025.32843725165;3033.6496675692;2788.08907929638;1026.7156726632;1281.58019804022;1791.6675806541;1140.83701105832;1141.2833933956;1411.47989845477;1054.53930895438;1041.69928258813;1445.1689769084;1673.5984531928;1943.18555241949;949.537378078559;3594.08759294848;1337.46762078657;935.553865325295;1155.30300964512;1318.20839081065;1454.61816722912;2185.61336819709;1153.72475070876;996.788169717653;1812.40147449103;3957.53815676112;2549.56796555465;3721.29556185161;2453.90136504406;4497.66060465842;3841.72777250289;3972.89568878458;4368.33831420894;3840.86483543678;3606.82426072157;3857.02691298578;4360.89828774889;4963.30880630966;4662.61074940369;4496.21844581658;4512.81641591157;5358.20963513101;2997.74084153442;4254.71758171382;"";"";"10";0.13623350871021
"12";"M70T578";70.0652747165148;70.0646149630849;70.0756584124307;578.424501724243;538.289973602295;580.493001861572;88;13;15;1;7;14;11;17;4467.97650702065;7354.7052435165;10014.7479945637;9452.61446592132;5695.31501823404;2728.91364845264;4637.06702552876;3684.81318588104;3212.24592849519;6008.80585592799;4766.570368708;2637.89984897218;3973.29976410048;3611.38004522226;12431.5792681312;3277.40619628766;5513.89643168851;4541.85966250434;3242.8859422943;13357.7882498597;13233.9221936996;10573.8434683238;6722.92028433211;5499.19956342749;6635.26187097385;2721.2369279337;8989.97221271851;20792.6287976538;19671.0721810421;4357.57656053188;14814.3260724964;6863.67254839488;4341.04330878898;5281.63038573146;5279.23892426456;3851.4957037199;4712.7043648524;3844.03230772647;7068.51002485718;3079.17271904674;7831.19349317903;3412.78207258452;2940.80062938952;6248.78285147194;4604.9862331964;5010.61250754934;8958.99150994841;5604.24580235064;5739.9359292108;4522.60331660954;13125.2249024892;4933.55607952544;7336.96519668681;2071.08556647121;3226.54619138226;7211.37633598988;2484.09235385936;4464.12737800819;7990.07612061895;5001.35630421898;4255.39979588194;6159.94071999564;2609.02881217574;3318.00949510001;2812.99039575275;6102.80329769696;8927.55477661768;5075.40189302381;4891.15034794905;6033.43639967737;4862.72049705043;4577.8920414045;4586.20813674522;5424.63681448776;4870.23893627553;5356.78611990632;6690.14787112271;4404.60645522691;4056.25467953872;2123.37128575628;5391.51998743506;3965.30444004461;4004.53093777259;4376.17613079293;3730.92505981371;4247.48016284706;5067.34494120505;5368.73371968247;3927.80074109199;5353.50364874243;5826.93434156609;6031.19400121535;5419.31463347919;4482.53811416957;4418.28600337942;"";"[M+H-H2O-C2H2O2]+ 145.081";"63";0.157939584573141
"15";"M73T742";72.9372094222006;72.9369137637163;72.9374987360638;741.614491577148;740.312006988525;743.84102355957;94;14;19;3;7;15;17;19;29868.1499672542;33685.5849235235;36973.2602695743;34638.9689768166;48512.5750653354;49512.1786148489;82014.9282164639;30877.0178751756;30884.70379818;34649.8460271831;47584.9023824856;36669.7425807112;59745.4496654383;55742.7095724984;33353.5664188424;43046.6429134893;27233.3243398594;56146.1117043198;64752.57596322;29752.9416718796;32323.6958695124;36395.0166470523;34600.3255233081;29381.4341039591;36935.4140572303;44858.6998880961;46984.0984577308;50067.6499359659;38885.7853874291;54518.2739569031;55492.3221733346;35391.4144941429;50034.5127578661;41488.5372178842;38969.7063248205;46603.9178228687;52258.5020221547;50715.1976144914;44383.9202721146;45514.6097179749;52949.9663580147;49669.2023324233;36388.472363177;39509.9119249476;33346.7577170278;35937.9043033203;41097.0285801784;47297.3280867465;33847.4256806329;29002.8324251705;42296.6205193097;40372.924340973;34137.9388750944;50503.4875195087;56417.4255719668;24372.5350841863;59322.3915990404;44590.6892366431;45714.1940251393;53188.2501344776;31552.5242354449;27803.889255379;53959.2165358058;41739.9413740796;50232.8989227345;26905.3759722116;38704.1145973696;38198.6310725763;26367.5032413885;29899.1765909047;37325.5647059106;75079.3612177246;48376.8137448174;37849.6606501584;54237.9351306133;54022.579452739;73570.8400902004;37797.8038167074;85761.1445431028;31797.41484126;50680.0564363496;40167.1746260668;33090.6900622032;33144.8508586508;34676.5535049004;16030.2765267281;33005.7914746284;45603.9365522994;37840.0377275771;40031.287375696;33024.7942791579;38920.4244624338;34258.8804450428;28498.4461292779;38658.2721754614;"";"";"53";0.217938102069643
"21";"M82T761";82.0138739549781;82.0121612548828;82.015064634537;761.195021820068;759.305992126465;763.710997619629;71;9;13;3;5;14;14;13;1489.95206263283;4113.96971078012;4490.65910446096;2221.28764954565;4187.80604337329;2863.24705612074;6482.26203882363;2749.91936864514;2509.28628443302;3492.66223981806;3843.39386283155;3126.31271290454;3180.79397862906;5969.04055992397;3029.67122215018;2837.40088238449;3459.46640810039;3815.6364622508;5299.99861699218;3536.84856941545;3056.97797764624;3930.98742297665;2885.38344509017;2970.79252405244;837.444312006956;5152.42549512869;2464.64424956211;2307.67401224701;1772.6505404736;9146.53308024234;3225.01867078063;2194.45209628816;3645.97835535947;4325.86480196145;2844.39413745646;5029.60742858915;7782.74245650117;2390.68664164265;2736.6331137238;3686.97475566201;2864.27306373763;4876.10702824779;2342.45280323738;3130.81458061519;3586.66063332469;2399.49976576825;2424.66747783477;5796.05241391243;2968.65426108159;4246.66856403773;1097.96706438866;2576.00555311177;3547.3253480785;4200.87435008328;2602.94622689078;2464.9665487235;4101.89605360945;2946.54170194448;1346.67917521248;2699.29266945269;4430.10310857735;3762.92719120477;3404.34161275202;5215.08907513395;4664.12464768988;4401.10177259689;1925.87709137637;3517.93740762526;3588.45605108839;2657.50516564521;1944.67067462018;9356.86474522916;3893.39739493856;1503.31832772765;2379.57647011615;5759.46266096284;3494.43053813701;3582.93058486478;3985.11030513392;3416.84446740959;2709.3071651986;2126.78185574658;2974.34115839324;3353.99843445468;1985.22758924734;3149.80543801166;3433.73634908576;2578.7527512818;2796.23782370906;2758.38534290998;1632.99042952065;3710.84972008461;3241.7464061553;2325.4232294196;3870.18378483123;"";"";"477";0.225729531005396
"22";"M82T63";82.0656064726352;82.0641749354821;82.0755163765423;62.6710016059875;31.3909989356995;65.6140009117127;141;14;18;1;7;15;14;19;19071.54489897;17038.2955169264;17583.6466487464;19998.1949994458;11629.6579856528;25360.3179060778;8940.07040465634;19096.1306624605;12660.3436969132;12992.8042306849;9069.74807250662;11199.2225308875;15555.2444028332;6919.64538838703;18465.6635637226;6725.08505859465;9825.22524940229;15026.3368000686;14240.1625121675;14792.9122644216;9970.91458576171;9793.73757095092;12630.3692231765;13287.2440024412;8829.83427266566;8631.90221536885;14893.0728103077;7527.17305171577;10516.6567158426;7775.71469208984;6733.17889575528;6169.49872675931;9184.03785488856;11181.1699787198;9271.47858399857;8189.86686835072;9372.01912933559;4285.45823555376;13033.4701815268;11818.5917014062;8078.00120599506;2552.19639840812;11196.9266402299;12110.6473850139;13482.1464404934;12451.7440939879;12900.8654291267;10782.6009540548;14334.4122621288;14553.4118532446;4118.84837951115;13032.8123849262;21312.793767989;16303.1887678982;13061.800409428;18642.3892291442;28891.2718976133;15102.6134450763;12070.6261138019;15435.9214790658;13753.6049875672;18837.2936881623;19367.3101598178;17165.7603579683;10762.4215000558;680.313418251452;19031.3952249078;24040.6831692923;9399.8837835698;18919.4900295078;7732.40606366092;10204.4593482729;11623.9562165122;16357.7711919934;8270.98672462842;6967.32080626766;5443.2290348424;5687.81919234623;14241.5267391201;13574.8197380077;8657.94915203012;8385.53885965294;8637.59787706009;7198.92947143545;8380.11377814849;7503.29732942195;8869.3418641518;8100.77047110055;8039.64362087544;8618.97293391778;7575.30832620823;7623.80424551462;6064.33496832989;7783.95353315897;8400.09276870417;"";"";"12";0.0912784362258178
